time,open,high,low,close,tick_volume,spread,real_volume
2022-01-03 01:00:00,28952.72,29062.72,28922.72,29037.72,602,510,0
2022-01-03 01:30:00,29037.72,29050.22,28922.72,28947.72,286,600,0
2022-01-03 02:00:00,28947.72,29147.72,28947.72,29115.22,838,510,0
2022-01-03 02:30:00,29112.72,29147.72,29112.72,29127.72,295,510,0
2022-01-03 03:00:00,29132.72,29162.72,29000.22,29122.72,788,600,0
2022-01-03 03:30:00,29122.72,29140.22,29000.22,29005.22,550,600,0
2022-01-03 04:00:00,29002.72,29017.72,28957.72,28972.72,660,510,0
2022-01-03 04:30:00,28972.72,28997.72,28970.22,28997.72,213,510,0
2022-01-03 05:00:00,29000.22,29000.22,28940.22,28975.22,521,600,0
2022-01-03 05:30:00,28972.72,28975.22,28940.22,28962.72,209,600,0
2022-01-03 06:00:00,28962.72,28967.72,28875.22,28957.72,355,510,0
2022-01-03 06:30:00,28957.72,28962.72,28875.22,28917.72,250,600,0
2022-01-03 07:00:00,28917.72,28955.22,28917.72,28935.22,304,510,0
2022-01-03 07:30:00,28935.22,28955.22,28927.72,28927.72,189,600,0
2022-01-03 08:00:00,28925.22,28945.22,28897.72,28905.22,638,260,0
2022-01-03 08:30:00,28907.72,28937.72,28897.72,28937.72,335,600,0
2022-01-03 09:00:00,28940.22,28955.22,28885.22,28910.22,479,510,0
2022-01-03 09:30:00,28910.22,28955.22,28905.22,28945.22,207,510,0
2022-01-03 10:00:00,28945.22,29025.22,28940.22,29005.22,928,600,0
2022-01-03 10:30:00,29005.22,29025.22,28975.22,28980.22,400,600,0
2022-01-03 11:00:00,28980.22,28990.22,28965.22,28980.22,503,600,0
2022-01-03 11:30:00,28980.22,28990.22,28965.22,28985.22,261,600,0
2022-01-03 12:00:00,28985.22,29007.72,28972.72,29005.22,452,600,0
2022-01-03 12:30:00,29005.22,29005.22,28985.22,28990.22,163,600,0
2022-01-03 13:00:00,28990.22,29007.72,28980.22,28995.22,315,260,0
2022-01-03 13:30:00,28995.22,29000.22,28980.22,28995.22,132,600,0
2022-01-03 14:00:00,28995.22,29010.22,28985.22,29010.22,266,600,0
2022-01-03 14:30:00,29005.22,29010.22,28985.22,29000.22,143,600,0
2022-01-03 15:00:00,29000.22,29005.22,28947.72,28975.22,394,600,0
2022-01-03 15:30:00,28970.22,28975.22,28947.72,28950.22,250,600,0
2022-01-03 16:00:00,28950.22,28970.22,28825.22,28930.22,1259,600,0
2022-01-03 16:30:00,28930.22,28970.22,28825.22,28875.22,1104,600,0
2022-01-03 17:00:00,28875.22,29005.22,28865.22,29000.22,1975,427,0
2022-01-03 17:30:00,29005.22,29005.22,28950.22,28955.22,871,427,0
2022-01-03 18:00:00,28955.22,28960.22,28867.72,28920.22,1297,260,0
2022-01-03 18:30:00,28920.22,28935.22,28867.72,28910.22,823,260,0
2022-01-03 19:00:00,28910.22,28930.22,28890.22,28930.22,807,510,0
2022-01-03 19:30:00,28930.22,28930.22,28912.72,28920.22,329,510,0
2022-01-03 20:00:00,28920.22,28930.22,28895.22,28910.22,584,260,0
2022-01-03 20:30:00,28910.22,28925.22,28895.22,28922.72,342,600,0
2022-01-03 21:00:00,28920.22,28975.22,28915.22,28960.22,525,260,0
2022-01-03 21:30:00,28962.72,28975.22,28950.22,28960.22,248,600,0
2022-01-03 22:00:00,28960.22,28965.22,28850.22,28952.72,784,510,0
2022-01-03 22:30:00,28955.22,28965.22,28850.22,28950.22,774,510,0
2022-01-03 23:00:00,28945.22,28965.22,28915.22,28942.72,266,600,0
2022-01-03 23:30:00,28942.72,28965.22,28942.72,28965.22,66,600,0
2022-01-04 01:00:00,28965.12,29082.62,28957.62,28990.12,811,510,0
2022-01-04 01:30:00,28990.12,29082.62,28960.12,29062.62,925,510,0
2022-01-04 02:00:00,29075.12,29227.62,28947.62,28997.62,2206,600,0
2022-01-04 02:30:00,28997.62,29227.62,28987.62,29187.62,1183,600,0
2022-01-04 03:00:00,29187.62,29257.62,29140.12,29202.62,1866,600,0
2022-01-04 03:30:00,29202.62,29257.62,29182.62,29185.12,1068,600,0
2022-01-04 04:00:00,29182.62,29217.62,29160.12,29192.62,1558,600,0
2022-01-04 04:30:00,29190.12,29207.62,29160.12,29202.62,689,600,0
2022-01-04 05:00:00,29202.62,29280.12,29172.62,29225.12,1284,600,0
2022-01-04 05:30:00,29225.12,29280.12,29220.12,29257.62,881,600,0
2022-01-04 06:00:00,29255.12,29315.12,29245.12,29265.12,1191,510,0
2022-01-04 06:30:00,29265.12,29315.12,29265.12,29300.12,501,600,0
2022-01-04 07:00:00,29300.12,29320.12,29275.12,29310.12,1013,510,0
2022-01-04 07:30:00,29310.12,29312.62,29275.12,29282.62,620,600,0
2022-01-04 08:00:00,29290.12,29310.12,29230.12,29250.12,701,600,0
2022-01-04 08:30:00,29250.12,29260.12,29240.12,29255.12,117,600,0
2022-01-04 09:00:00,29255.12,29255.12,29210.12,29220.12,625,510,0
2022-01-04 09:30:00,29220.12,29255.12,29220.12,29255.12,369,600,0
2022-01-04 10:00:00,29250.12,29255.12,29210.12,29225.12,1271,600,0
2022-01-04 10:30:00,29225.12,29240.12,29210.12,29210.12,629,600,0
2022-01-04 11:00:00,29210.12,29232.62,29195.12,29205.12,779,600,0
2022-01-04 11:30:00,29205.12,29225.12,29195.12,29225.12,297,600,0
2022-01-04 12:00:00,29227.62,29285.12,29227.62,29265.12,1037,600,0
2022-01-04 12:30:00,29267.62,29285.12,29255.12,29270.12,514,600,0
2022-01-04 13:00:00,29270.12,29305.12,29260.12,29295.12,924,600,0
2022-01-04 13:30:00,29295.12,29302.62,29290.12,29295.12,382,600,0
2022-01-04 14:00:00,29295.12,29310.12,29280.12,29287.62,903,600,0
2022-01-04 14:30:00,29285.12,29300.12,29280.12,29300.12,382,600,0
2022-01-04 15:00:00,29297.62,29350.12,29295.12,29335.12,989,600,0
2022-01-04 15:30:00,29335.12,29350.12,29325.12,29345.12,455,600,0
2022-01-04 16:00:00,29345.12,29375.12,29325.12,29350.12,1427,380,0
2022-01-04 16:30:00,29350.12,29375.12,29335.12,29347.62,1138,380,0
2022-01-04 17:00:00,29347.62,29347.62,29260.12,29337.62,1702,260,0
2022-01-04 17:30:00,29335.12,29342.62,29260.12,29265.12,905,260,0
2022-01-04 18:00:00,29265.12,29315.12,29215.12,29270.12,1627,260,0
2022-01-04 18:30:00,29270.12,29315.12,29260.12,29305.12,755,260,0
2022-01-04 19:00:00,29305.12,29320.12,29270.12,29305.12,1076,260,0
2022-01-04 19:30:00,29300.12,29310.12,29270.12,29272.62,526,260,0
2022-01-04 20:00:00,29270.12,29280.12,29195.12,29265.12,1079,260,0
2022-01-04 20:30:00,29265.12,29267.62,29195.12,29195.12,664,260,0
2022-01-04 21:00:00,29195.12,29260.12,29195.12,29235.12,1019,260,0
2022-01-04 21:30:00,29235.12,29260.12,29225.12,29250.12,420,260,0
2022-01-04 22:00:00,29250.12,29310.12,29250.12,29285.12,1010,260,0
2022-01-04 22:30:00,29285.12,29310.12,29262.62,29285.12,611,260,0
2022-01-04 23:00:00,29285.12,29305.12,29275.12,29290.12,277,600,0
2022-01-04 23:30:00,29290.12,29305.12,29275.12,29297.62,92,600,0
2022-01-05 01:00:00,29295.03,29302.53,29215.03,29280.03,806,510,0
2022-01-05 01:30:00,29280.03,29282.53,29215.03,29267.53,690,600,0
2022-01-05 02:00:00,29277.53,29325.03,29197.53,29275.03,2114,427,0
2022-01-05 02:30:00,29275.03,29325.03,29197.53,29322.53,1061,427,0
2022-01-05 03:00:00,29322.53,29387.53,29262.53,29322.53,2113,600,0
2022-01-05 03:30:00,29325.03,29330.03,29270.03,29297.53,1257,600,0
2022-01-05 04:00:00,29300.03,29327.53,29282.53,29305.03,1500,600,0
2022-01-05 04:30:00,29305.03,29327.53,29292.53,29327.53,526,600,0
2022-01-05 05:00:00,29332.53,29335.03,29297.53,29312.53,1082,600,0
2022-01-05 05:30:00,29310.03,29335.03,29300.03,29322.53,701,600,0
2022-01-05 06:00:00,29317.53,29327.53,29290.03,29317.53,794,600,0
2022-01-05 06:30:00,29317.53,29317.53,29290.03,29305.03,379,600,0
2022-01-05 07:00:00,29300.03,29350.03,29295.03,29317.53,1161,510,0
2022-01-05 07:30:00,29320.03,29350.03,29315.03,29332.53,547,600,0
2022-01-05 08:00:00,29335.03,29345.03,29277.53,29300.03,717,510,0
2022-01-05 08:30:00,29305.03,29327.53,29290.03,29305.03,198,550,0
2022-01-05 09:00:00,29307.53,29335.03,29295.03,29305.03,740,380,0
2022-01-05 09:30:00,29305.03,29325.03,29295.03,29320.03,434,380,0
2022-01-05 10:00:00,29320.03,29340.03,29265.03,29305.03,1447,510,0
2022-01-05 10:30:00,29305.03,29315.03,29265.03,29277.53,588,510,0
2022-01-05 11:00:00,29275.03,29310.03,29270.03,29300.03,1030,380,0
2022-01-05 11:30:00,29300.03,29310.03,29285.03,29305.03,371,380,0
2022-01-05 12:00:00,29305.03,29310.03,29285.03,29305.03,697,260,0
2022-01-05 12:30:00,29305.03,29310.03,29285.03,29285.03,401,260,0
2022-01-05 13:00:00,29287.53,29290.03,29265.03,29270.03,871,260,0
2022-01-05 13:30:00,29270.03,29277.53,29265.03,29275.03,406,260,0
2022-01-05 14:00:00,29275.03,29295.03,29270.03,29285.03,971,600,0
2022-01-05 14:30:00,29285.03,29285.03,29270.03,29285.03,402,600,0
2022-01-05 15:00:00,29285.03,29305.03,29270.03,29295.03,1021,510,0
2022-01-05 15:30:00,29295.03,29300.03,29275.03,29300.03,440,510,0
2022-01-05 16:00:00,29300.03,29320.03,29255.03,29295.03,1110,45,0
2022-01-05 16:30:00,29295.03,29320.03,29255.03,29310.03,1032,45,0
2022-01-05 17:00:00,29310.03,29360.03,29290.03,29335.03,1522,260,0
2022-01-05 17:30:00,29330.03,29360.03,29315.03,29352.53,581,260,0
2022-01-05 18:00:00,29355.03,29365.03,29310.03,29350.03,1099,260,0
2022-01-05 18:30:00,29350.03,29355.03,29310.03,29320.03,612,260,0
2022-01-05 19:00:00,29317.53,29345.03,29295.03,29342.53,1145,260,0
2022-01-05 19:30:00,29345.03,29345.03,29295.03,29295.03,580,260,0
2022-01-05 20:00:00,29295.03,29310.03,29265.03,29285.03,933,260,0
2022-01-05 20:30:00,29285.03,29310.03,29282.53,29300.03,344,260,0
2022-01-05 21:00:00,29297.53,29325.03,29075.03,29185.03,2416,45,0
2022-01-05 21:30:00,29185.03,29205.03,29075.03,29120.03,1306,260,0
2022-01-05 22:00:00,29115.03,29130.03,28995.03,29100.03,2316,45,0
2022-01-05 22:30:00,29100.03,29130.03,28995.03,29010.03,1091,260,0
2022-01-05 23:00:00,29010.03,29030.03,28980.03,29022.53,453,260,0
2022-01-05 23:30:00,29022.53,29030.03,29010.03,29015.03,74,600,0
2022-01-06 01:00:00,29024.94,29064.94,28954.94,29034.94,1148,600,0
2022-01-06 01:30:00,29032.44,29064.94,28972.44,29037.44,977,600,0
2022-01-06 02:00:00,29034.94,29117.44,28937.44,29102.44,2728,510,0
2022-01-06 02:30:00,29104.94,29117.44,28937.44,28947.44,1208,510,0
2022-01-06 03:00:00,28944.94,28977.44,28819.94,28899.94,2537,600,0
2022-01-06 03:30:00,28897.44,28932.44,28819.94,28832.44,1347,600,0
2022-01-06 04:00:00,28834.94,28837.44,28674.94,28712.44,2490,510,0
2022-01-06 04:30:00,28714.94,28744.94,28674.94,28724.94,1206,510,0
2022-01-06 05:00:00,28724.94,28729.94,28547.44,28714.94,2114,600,0
2022-01-06 05:30:00,28714.94,28717.44,28547.44,28592.44,1475,600,0
2022-01-06 06:00:00,28592.44,28602.44,28509.94,28559.94,1617,600,0
2022-01-06 06:30:00,28559.94,28584.94,28509.94,28567.44,842,600,0
2022-01-06 07:00:00,28569.94,28609.94,28492.44,28609.94,2016,510,0
2022-01-06 07:30:00,28607.44,28609.94,28492.44,28499.94,1237,510,0
2022-01-06 08:00:00,28499.94,28534.94,28479.94,28504.94,1218,600,0
