time,open,high,low,close,tick_volume,spread,real_volume
2020-01-02 06:00:00,0.67867,0.6792,0.67843,0.67905,1063,16,0
2020-01-02 07:00:00,0.67906,0.67935,0.67835,0.67921,1611,16,0
2020-01-02 08:00:00,0.67921,0.67934,0.6788,0.67911,1499,17,0
2020-01-02 09:00:00,0.67901,0.67932,0.67877,0.67893,1549,16,0
2020-01-02 10:00:00,0.67892,0.67924,0.6786,0.67864,2009,15,0
2020-01-02 11:00:00,0.67864,0.67873,0.67766,0.67838,1837,10,0
2020-01-02 12:00:00,0.67839,0.67857,0.67749,0.67851,1596,15,0
2020-01-02 13:00:00,0.67852,0.67858,0.67767,0.6781,2000,15,0
2020-01-02 14:00:00,0.67811,0.67902,0.67788,0.67887,1831,15,0
2020-01-02 15:00:00,0.67887,0.67917,0.67809,0.6788,2401,15,0
2020-01-02 16:00:00,0.67881,0.67923,0.67827,0.67903,2810,15,0
2020-01-02 17:00:00,0.67902,0.67904,0.67792,0.67857,3420,15,0
2020-01-02 18:00:00,0.67857,0.67869,0.6781,0.67861,2430,15,0
2020-01-02 19:00:00,0.67861,0.67938,0.6786,0.67934,2063,17,0
2020-01-02 20:00:00,0.67934,0.67934,0.67864,0.67883,1441,17,0
2020-01-02 21:00:00,0.67882,0.6792,0.67864,0.67877,1301,16,0
2020-01-02 22:00:00,0.67878,0.67899,0.67824,0.67861,1287,17,0
2020-01-02 23:00:00,0.67861,0.6788,0.67842,0.6787,805,14,0
2020-01-03 00:00:00,0.6787,0.67905,0.67768,0.67792,976,58,0
2020-01-03 01:00:00,0.67805,0.67869,0.6779,0.67831,1228,11,0
2020-01-03 02:00:00,0.67831,0.67839,0.67782,0.6781,1330,17,0
2020-01-03 03:00:00,0.67809,0.67842,0.67642,0.67647,2097,12,0
2020-01-03 04:00:00,0.67647,0.67685,0.67498,0.67538,2948,9,0
2020-01-03 05:00:00,0.67538,0.67575,0.67491,0.67564,2049,15,0
2020-01-03 06:00:00,0.67565,0.67613,0.67561,0.67563,1186,16,0
2020-01-03 07:00:00,0.67563,0.67593,0.6751,0.6756,1906,16,0
2020-01-03 08:00:00,0.6756,0.67591,0.6751,0.67565,1634,16,0
2020-01-03 09:00:00,0.67565,0.67576,0.67486,0.67513,2859,16,0
2020-01-03 10:00:00,0.67512,0.67647,0.67455,0.67555,2933,15,0
2020-01-03 11:00:00,0.67555,0.6758,0.67463,0.67523,2836,15,0
2020-01-03 12:00:00,0.67523,0.67599,0.67506,0.67523,2462,15,0
2020-01-03 13:00:00,0.67522,0.67556,0.67461,0.67486,2316,15,0
2020-01-03 14:00:00,0.67486,0.67602,0.67456,0.67565,2087,15,0
2020-01-03 15:00:00,0.67565,0.67649,0.67561,0.67573,2447,10,0
2020-01-03 16:00:00,0.67573,0.67647,0.67529,0.6753,2830,15,0
2020-01-03 17:00:00,0.6753,0.67657,0.67425,0.67507,4162,15,0
2020-01-03 18:00:00,0.67507,0.6761,0.67494,0.67542,2361,15,0
2020-01-03 19:00:00,0.67542,0.67598,0.67535,0.67588,1673,16,0
2020-01-03 20:00:00,0.67587,0.67648,0.67517,0.67565,2246,17,0
2020-01-03 21:00:00,0.67568,0.67641,0.67567,0.676,1986,16,0
2020-01-03 22:00:00,0.67601,0.67632,0.67583,0.67596,1563,16,0
2020-01-03 23:00:00,0.67597,0.67602,0.67516,0.67516,634,17,0
2020-01-06 00:00:00,0.6733,0.67427,0.67299,0.6731,1326,14,0
2020-01-06 01:00:00,0.67311,0.67468,0.67304,0.67454,3169,16,0
2020-01-06 02:00:00,0.67455,0.67567,0.6745,0.67539,2574,16,0
2020-01-06 03:00:00,0.6754,0.67552,0.67343,0.67394,2396,16,0
2020-01-06 04:00:00,0.67394,0.67462,0.67382,0.67441,1796,16,0
2020-01-06 05:00:00,0.67441,0.67463,0.67358,0.67413,1336,15,0
2020-01-06 06:00:00,0.67412,0.67452,0.67384,0.67446,1527,16,0
2020-01-06 07:00:00,0.67445,0.67453,0.67358,0.67371,1334,16,0
2020-01-06 08:00:00,0.67372,0.67389,0.67311,0.67382,1797,14,0
2020-01-06 09:00:00,0.67381,0.67484,0.67367,0.67457,2370,16,0
2020-01-06 10:00:00,0.67456,0.67517,0.67351,0.67364,2803,11,0
2020-01-06 11:00:00,0.67365,0.67413,0.67355,0.67383,2393,15,0
2020-01-06 12:00:00,0.67379,0.67407,0.67327,0.67375,1916,15,0
2020-01-06 13:00:00,0.67374,0.67375,0.67291,0.67316,2023,10,0
2020-01-06 14:00:00,0.67317,0.67424,0.67317,0.67358,1628,15,0
2020-01-06 15:00:00,0.67372,0.67384,0.6727,0.67323,2421,10,0
2020-01-06 16:00:00,0.67323,0.67336,0.67181,0.67226,2816,10,0
2020-01-06 17:00:00,0.67226,0.67296,0.67138,0.67152,3014,15,0
2020-01-06 18:00:00,0.67156,0.67219,0.67125,0.67143,1993,15,0
2020-01-06 19:00:00,0.67142,0.67154,0.67083,0.6714,1479,11,0
2020-01-06 20:00:00,0.6714,0.67177,0.67122,0.67176,1167,16,0
2020-01-06 21:00:00,0.67175,0.67204,0.67156,0.67167,1172,16,0
2020-01-06 22:00:00,0.67169,0.67224,0.6715,0.67224,1236,16,0
2020-01-06 23:00:00,0.67225,0.67229,0.67141,0.67163,791,16,0
2020-01-07 00:00:00,0.67137,0.6721,0.67116,0.67157,968,30,0
2020-01-07 01:00:00,0.67159,0.67182,0.67125,0.6718,1710,15,0
2020-01-07 02:00:00,0.67182,0.67203,0.67099,0.67127,2028,16,0
2020-01-07 03:00:00,0.67127,0.67207,0.67111,0.67155,1946,15,0
2020-01-07 04:00:00,0.67155,0.67189,0.67105,0.67162,1383,16,0
2020-01-07 05:00:00,0.6715,0.67241,0.67139,0.67223,1237,10,0
2020-01-07 06:00:00,0.67223,0.67225,0.67125,0.67138,1330,10,0
2020-01-07 07:00:00,0.67137,0.67173,0.67006,0.67011,1550,10,0
2020-01-07 08:00:00,0.67007,0.67103,0.66921,0.6707,2870,16,0
2020-01-07 09:00:00,0.6707,0.67108,0.66906,0.66911,2550,9,0
2020-01-07 10:00:00,0.66911,0.6699,0.66897,0.66913,3056,9,0
2020-01-07 11:00:00,0.66911,0.66949,0.66815,0.66911,2349,15,0
2020-01-07 12:00:00,0.66911,0.66936,0.66763,0.66791,2494,15,0
2020-01-07 13:00:00,0.66791,0.66811,0.66678,0.66717,2106,12,0
2020-01-07 14:00:00,0.66717,0.66804,0.66716,0.66737,2083,15,0
2020-01-07 15:00:00,0.66737,0.66796,0.66653,0.66694,3166,11,0
2020-01-07 16:00:00,0.66696,0.66733,0.66634,0.6665,3260,15,0
2020-01-07 17:00:00,0.66649,0.66828,0.66617,0.66748,4053,13,0
2020-01-07 18:00:00,0.66746,0.6678,0.66641,0.66647,2104,8,0
2020-01-07 19:00:00,0.66648,0.66662,0.66583,0.66658,1768,15,0
2020-01-07 20:00:00,0.66657,0.667,0.66656,0.66697,1292,11,0
